Modèle,F1-score,Précision,Rappel,AUC,Gap CV/Val,Méthode d'imputation
GradBoost,0.9231,0.9836065573770492,0.8695652173913043,0.9745605920444034,-0.0062,MICE - Complet
XGBoost,0.9104,0.9384615384615385,0.8840579710144928,0.9686332956453216,0.0106,MICE - Complet
MLP,0.9104,0.9384615384615385,0.8840579710144928,0.9670058587727414,-0.0159,MICE - Réduit
GradBoost,0.9091,0.9523809523809523,0.8695652173913043,0.9622092027272415,-0.0025,KNN - Complet
RandForest,0.9008,0.9516129032258065,0.855072463768116,0.9729331551718231,-0.0022,MICE - Complet
GradBoost,0.8992,0.9666666666666667,0.8405797101449275,0.9720080857916196,-0.0006,MICE - Réduit
RandForest,0.8971,0.9104477611940298,0.8840579710144928,0.9707403981224517,-0.0078,KNN - Complet
XGBoost,0.8971,0.9104477611940298,0.8840579710144928,0.9673313461472574,0.0278,KNN - Complet
SVM,0.8923,0.9508196721311475,0.8405797101449275,0.9445300990166854,0.002,MICE - Réduit
MLP,0.8905,0.8970588235294118,0.8840579710144928,0.9681707609552197,-0.0246,MICE - Complet
GradBoost,0.8889,0.9090909090909091,0.8695652173913043,0.9599993147634222,0.0215,KNN - Réduit
XGBoost,0.8841,0.8840579710144928,0.8840579710144928,0.9702778634323501,0.0289,KNN - Réduit
SVM,0.8824,0.8955223880597015,0.8695652173913043,0.951399595710419,-0.019,KNN - Réduit
XGBoost,0.8824,0.8955223880597015,0.8695652173913043,0.9676568335217735,0.0065,MICE - Réduit
MLP,0.8777,0.8714285714285714,0.8840579710144928,0.9703635180045911,-0.0118,KNN - Complet
MLP,0.8657,0.8923076923076924,0.8405797101449275,0.9682564155274609,0.0324,KNN - Réduit
RandForest,0.8615,0.9180327868852459,0.8115942028985508,0.9623462500428273,-0.0317,MICE - Réduit
SVM,0.8551,0.855072463768116,0.855072463768116,0.9652242436701272,-0.0439,KNN - Complet
RandForest,0.8507,0.8769230769230769,0.8260869565217391,0.9648302326378182,0.0291,KNN - Réduit
SVM,0.7869,0.9056603773584906,0.6956521739130435,0.9584746633775311,0.0301,MICE - Complet
