model,threshold,f1,precision,recall,Imputation,Version
GradBoost,0.2849,0.9333,0.9545,0.913,KNN,REDUCED
GradBoost,0.4914,0.9313,0.9839,0.8841,MICE,FULL
XGBoost,0.9263,0.9302,1.0,0.8696,KNN,FULL
XGBoost,0.7193,0.9242,0.9683,0.8841,MICE,FULL
MLP,0.5436,0.9242,0.9683,0.8841,MICE,REDUCED
SVM,0.4431,0.9242,0.9683,0.8841,KNN,REDUCED
RandForest,0.5718,0.9231,0.9836,0.8696,KNN,FULL
XGBoost,0.9227,0.9231,0.9836,0.8696,KNN,REDUCED
GradBoost,0.3484,0.9185,0.9394,0.8986,KNN,FULL
MLP,0.7553,0.916,0.9677,0.8696,KNN,REDUCED
SVM,0.4424,0.9104,0.9385,0.8841,MICE,REDUCED
RandForest,0.4808,0.9091,0.9524,0.8696,MICE,FULL
GradBoost,0.4441,0.9051,0.9118,0.8986,MICE,REDUCED
MLP,0.9347,0.9023,0.9375,0.8696,MICE,FULL
XGBoost,0.7287,0.9008,0.9516,0.8551,MICE,REDUCED
SVM,0.0625,0.9,0.8873,0.913,MICE,FULL
MLP,0.9077,0.8939,0.9365,0.8551,KNN,FULL
RandForest,0.4777,0.8923,0.9508,0.8406,KNN,REDUCED
SVM,0.8314,0.8855,0.9355,0.8406,KNN,FULL
RandForest,0.5151,0.8682,0.9333,0.8116,MICE,REDUCED
